"CAS","DTXSID","name","mw","log.kow","water.sol.mg.l","half.air.hr","half.sediment.hr","vp.pa","kp","fabs"
"15008-36-3","DTXSID1065841","Benzenamine, 4,4'-(phenylmethylene)bis[N,N-diethyl-3-methyl-",414.637,6.10097,0.362325152169,1.08,38900,1.1135139341756e-06,0.00823272609440283,0.985942207715554
"15009-91-3","DTXSID00878766","2-NITROPYRIDINE",124.099,0.576357,1435.7137409,5550,8100,4.674469644746,0.000848258317490677,0.994375882179924
"1501-05-9","DTXSID50164469","4-Benzoylbutyric acid",192.214,1.56736,6082.1122736,30.2,3240,0.0001655450784391,0.00205329153505818,0.999195731612935
"1501-26-4","DTXSID60164470","Methyl 4-chloroformylbutyrate",164.59,0.402132,15996.584395,50,3240,25.28885757998,0.000300090835636374,0.991746039144279
"1501-27-5","DTXSID4044589","5-Methoxy-5-oxopentanoic acid",146.142,0.258531,43109.69787,76.2,1870,61.17524529628,0.000311807160359047,0.988645414075645
"15011-28-6","DTXSID50293440","4,5-dimethylquinolin-8-ol",173.215,2.53968,236.63420795,2.01,8100,0.005107754080007,0.0170611973610938,0.999684565311647
"150114-71-9","DTXSID2034330","Aminopyralid",207.01,0.71112,720.7239459,154,13000,8.049565944313e-08,0.000268529508725479,0.99580312992439
"15012-28-9","DTXSID30933877","4-[(3-Carboxy-5-methyl-4-oxocyclohexa-2,5-dien-1-ylidene)(2,6-dichlorophenyl)methyl]-2-hydroxy-3-methylbenzoic acid",459.28,3.66537,39.905369504,0.22,13000,8.377938990883e-08,0.00148820275864778,0.99969142825187
"15012-36-9","DTXSID60164475","Methyl 2,3-dimethylbenzoate",164.204,2.52956,1014.18630152,103,3240,8.179928577255,0.0193779509426541,0.999683268670324
"15012-53-0","DTXSID90346484","1,4-Naphthalenedione, 2-ethyl-5,8-dihydroxy-",218.208,1.4003,3531.0636768,6.35,3240,5.468097835699e-08,0.000914795738278425,0.998937569377897
"15013-16-8","DTXSID60319069","1,4-Naphthalenedione, 5,8-dimethoxy-",218.208,1.91189,382.62118176,20.2,8100,0.001443228203989,0.00266131051736542,0.99949693226697
"15014-25-2","DTXSID40164478","Dibenzyl malonate",284.311,2.72516,10.3931307605,20.1,3240,0.0002483329497335,0.00416912397773255,0.99970294023345
"15015-81-3","DTXSID6065842","1-Hexadecanesulfonic acid, sodium salt",328.49,6.87597,114.09508868,12.3,3240,0.0001669769609077,0.0130925761350659,0.922783950604844
"15015-84-6","DTXSID20933881","2-{[3-Hydroxy-2,2-bis(hydroxymethyl)propoxy]carbonyl}benzoic acid",284.264,-0.433536,15052.3757544,17.1,3240,3.283570478832e-08,2.70016348536971e-05,0.947393438295914
"15017-02-4","DTXSID1065843","1,4-Benzenediamine, N,N'-bis(2-methylphenyl)-",288.394,4.92379,0.80084418254,1.28,13000,1.0913997493463e-07,0.016521837235945,0.998816911205242
"15018-56-1","DTXSID10164485","5-Bromo-6-methyluracil",205.011,0.0310472,2942.9739072,26.7,3240,0.0011508055398825,8.79703010091311e-05,0.981144834068917
"15018-59-4","DTXSID70164486","5-Bromo-1,3,6-trimethyluracil",233.065,-0.168981,35654.74983,23.9,8100,0.8526566791255,4.98362226679061e-05,0.9705800382116
"15018-66-3","DTXSID90164488","Quinazoline, 4-amino-",145.165,1.57694,1382.15806285,2.32,8100,0.0003261398965375,0.00480409608782307,0.999207737861752
"1502-03-0","DTXSID1061736","Cyclododecanamine",183.339,3.8173,134.907253065,4.02,3240,0.6831599250468,0.0372885067609354,0.999671226073564
"1502-05-2","DTXSID6061737","Cyclodecanol",156.269,3.18054,259.51280292,11.1,3240,6.742366574841,0.0413727212985714,0.999716919872581
"1502-06-3","DTXSID60164490","Cyclodecanone",154.253,3.16194,479.8039565,14.5,3240,30.28618072435,0.0420922581163698,0.999717036843117
"1502-22-3","DTXSID30870879","Cyclohexanone, 2-(1-cyclohexen-1-yl)-",178.275,3.01417,340.376892,0.507,3240,23.04757488169,0.0271112712328777,0.999715999188804
"1502-24-5","DTXSID10933890","2,3-Dimethylcyclohexan-1-ol",128.215,2.27053,3285.12473,12.3,3240,28.31527583298,0.0238635068210208,0.999635905964145
"1502-38-1","DTXSID20164491","Cyclooctane, methyl-",126.243,4.84376,0.95536536381,19.8,3240,244.6665840085,0.0847334628211256,0.998973256353047
"1502-46-1","DTXSID80164492","1,3,4,6,7,9,9b-Heptaazaphenalene-2,5,8(1H,3H,6H)-trione",221.136,0.892742,494.3163576,28.5,8100,1.518662012251e-09,0.000303479666057572,0.997147527541538
"1502-47-2","DTXSID40164493","Melem",218.184,0.277763,5930.8520352,1e+05,13000,1.697793975455e-07,0.000104559498480775,0.989121197058462
"1502-95-0","DTXSID2048909","(-)-Heroin hydrochloride",405.88,2.22893,385.5027946,0.733,13000,1.2468243251605e-07,0.000203995273205302,0.999625119586775
"15020-57-2","DTXSID6065844","Benzenesulfonamide, 4-hydroxy-N,N-dimethyl-",201.24,1.20772,2097.464148,26.2,3240,0.003759278098591,0.000819903168975189,0.998486602270176
"15021-44-0","DTXSID1065845","Guanidine, (2,2-diethoxyethyl)-, sulfate (1:1)",273.3,0.630049,11892.02091,1.11,13000,7.097990717927e-06,8.23413981585241e-05,0.994997550352046
"15022-08-9","DTXSID6065846","Carbonic acid, di-2-propen-1-yl ester",142.154,1.71827,5338.1527926,3.29,3240,35.5664139803,0.00676496765977473,0.999357244344038
"150224-24-1","DTXSID70164507","1,2,3,5,8-Pentachloronaphthalene",300.38,6.75677,0.17186902536,622,38900,0.0001861807179633,0.0156022080422171,0.940155842704913
"150255-96-2","DTXSID60370216","3-Cyanophenylboronic acid",146.94,0.739376,1369.7511696,411,3240,0.000280283660497,0.000795329723584354,0.996050640764928
"15028-16-7","DTXSID20933902","2-Amino-2,3-dihydro-1H-inden-1-ol",149.193,-0.24967,1427.10862536,5.08,3240,0.1547099678038,0.000131937946720287,0.964832863910315
"15029-30-8","DTXSID80164513","1-(Cyanoacetyl)piperidine",152.197,-0.222477,625841.67385,8.92,8100,0.8762987385442,0.000130956170838283,0.966882297734676
"15029-32-0","DTXSID70864550","4-Morpholinepropanenitrile, .beta.-oxo-",154.169,-0.466152,105708.904061,4.59,8100,0.1659397127135,9.57539566446884e-05,0.943539772680969
"1503-48-6","DTXSID8044838","Quino[2,3-b]acridine-6,7,13,14(5H,12H)-tetrone",342.31,2.2708,14.084173795,8.32,8100,7.384233889257e-09,0.00066073801719764,0.999635972534264
"1503-49-7","DTXSID40164514","4-Benzoylbenzonitrile",207.232,3.23087,24.525078272,128,8100,0.0004396105826665,0.0220661184041315,0.999716324199299
